latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,FRP MW,daynight,type
28.6898,77.5261,327.8,1.6,1.2,07-11-2020,1641,Terra,MODIS,100,6.03,288.8,57.1,5.71,N,0
28.6919,77.5293,327.2,1.4,1.2,07-11-2020,2100,Aqua,MODIS,100,6.03,288.1,45.4,4.54,N,0
19.3483,71.3152,331.7,1,1,07-11-2020,2102,Aqua,MODIS,100,6.03,299.4,27.7,2.77,N,3
19.3695,71.3573,320.7,1,1,07-11-2020,2102,Aqua,MODIS,100,6.03,298.9,15.1,1.51,N,3
19.3497,71.3058,324.6,1,1,07-11-2020,2102,Aqua,MODIS,100,6.03,299.2,18.8,1.88,N,3
30.8489,71.821,360.3,1.3,1.1,09-11-2020,842,Aqua,MODIS,100,6.03,301.7,113.9,11.39,D,0
30.5072,74.0665,368.6,1.1,1.1,11-11-2020,830,Aqua,MODIS,100,6.03,305,125.9,12.59,D,0
30.4793,74.1142,364.1,1.2,1.1,11-11-2020,830,Aqua,MODIS,100,6.03,302.2,110.1,11.01,D,0
30.4234,74.1356,360.4,1.2,1.1,11-11-2020,830,Aqua,MODIS,100,6.03,303.2,98.3,9.83,D,0
34.1339,73.4398,369.3,1,1,12-11-2020,559,Terra,MODIS,100,6.03,293.1,112.3,11.23,D,0
34.1356,73.429,390.9,1,1,12-11-2020,559,Terra,MODIS,100,6.03,291.8,202.4,20.24,D,0
30.4925,74.107,360.8,1,1,13-11-2020,818,Aqua,MODIS,100,6.03,305.5,79.9,7.99,D,0
30.4805,74.0882,378,1,1,13-11-2020,818,Aqua,MODIS,100,6.03,305.4,137.9,13.79,D,0
30.4866,74.1294,364.9,1,1,13-11-2020,818,Aqua,MODIS,100,6.03,304.2,91,9.1,D,0
30.6192,74.4044,362.7,1,1,13-11-2020,818,Aqua,MODIS,100,6.03,303.8,86,8.6,D,0
30.5774,74.2495,378.2,1,1,13-11-2020,818,Aqua,MODIS,100,6.03,306.3,137.5,13.75,D,0
30.5597,74.3166,362.7,1,1,13-11-2020,818,Aqua,MODIS,100,6.03,304.2,84.6,8.46,D,0
28.0986,96.9894,320.5,1,1,14-11-2020,1927,Aqua,MODIS,100,6.03,282.6,21.5,2.15,N,0
23.2067,70.2262,323.5,1,1,14-11-2020,2108,Aqua,MODIS,100,6.03,291.5,22,2.2,N,0
26.578,101.6695,333.3,1.2,1.1,16-11-2020,1915,Aqua,MODIS,100,6.03,288.8,43.8,4.38,N,2
30.4347,73.9818,364,1.4,1.2,18-11-2020,836,Aqua,MODIS,100,6.03,301.7,137.9,13.79,D,0
19.3536,77.0456,325,1.1,1,19-11-2020,1703,Terra,MODIS,100,6.03,292.5,25.4,2.54,N,0
30.6606,74.3768,366,1,1,20-11-2020,824,Aqua,MODIS,100,6.03,302.2,103.1,10.31,D,0
30.0915,74.5876,373.2,1,1,20-11-2020,824,Aqua,MODIS,100,6.03,303.2,130.1,13.01,D,0
33.2863,71.2449,358.8,1.9,1.4,07-11-2020,855,Aqua,MODIS,99,6.03,305.2,197.9,19.79,D,0
15.7886,75.1626,319.6,1,1,08-11-2020,1720,Terra,MODIS,99,6.03,293.9,16.8,1.68,N,0
30.5929,74.2854,357.8,1.2,1.1,11-11-2020,830,Aqua,MODIS,99,6.03,302.5,91.2,9.12,D,0
